,Similarity
402,0.99831825
403,0.9982245
404,0.9982887
405,0.99815714
406,0.9982586
407,0.9981631
408,0.9982509
409,0.9984502
410,0.99830484
411,0.99834716
412,0.9984181
413,0.99838907
414,0.9985034
415,0.99847156
416,0.9984437
417,0.99837935
418,0.9983316
419,0.998352
420,0.9984091
421,0.99841917
422,0.99838823
423,0.9982184
424,0.99829006
425,0.9982793
426,0.99823016
427,0.99819624
428,0.9982461
429,0.9982555
430,0.9982655
431,0.9983339
432,0.9983459
433,0.9982792
434,0.9983912
435,0.99832743
436,0.99834865
437,0.9982695
438,0.9982709
439,0.9982919
440,0.9983547
441,0.9984155
442,0.9984086
443,0.99829566
444,0.99830025
445,0.9984092
446,0.99838006
447,0.99843526
448,0.9984584
449,0.99845445
450,0.99840975
451,0.9985121
452,0.99849015
453,0.99846786
454,0.99841815
455,0.99853337
456,0.99853295
457,0.9985271
458,0.9985027
459,0.9983203
460,0.99836457
461,0.9984374
462,0.99835765
463,0.99838716
464,0.9983658
465,0.9983986
466,0.9984064
467,0.998498
468,0.9984222
469,0.9984834
470,0.9984488
471,0.99847233
472,0.9984669
473,0.9984977
474,0.99842215
475,0.9984363
476,0.9983576
477,0.99845445
478,0.9983591
479,0.998403
480,0.99833095
481,0.99834925
482,0.99827594
483,0.99840957
484,0.9983745
485,0.99844927
486,0.9985011
487,0.99852985
488,0.99842393
489,0.99840945
490,0.99848557
491,0.99825436
492,0.9982718
493,0.99832565
494,0.99839324
495,0.9983763
496,0.9983328
497,0.99837255
498,0.99839854
499,0.99831617
500,0.9983714
501,0.9983637
502,0.99831784
503,0.99830204
504,0.9983279
505,0.99829674
506,0.99825764
507,0.9983442
508,0.9982749
509,0.9982677
510,0.99818105
511,0.99840087
512,0.99828833
513,0.9983899
514,0.9983695
515,0.9984292
516,0.9984894
517,0.99850774
518,0.9985178
519,0.99843174
520,0.9984157
521,0.99837977
522,0.9984891
523,0.9984126
524,0.9984426
525,0.99841326
526,0.99835634
527,0.9982544
528,0.99833655
529,0.99831694
530,0.99823624
531,0.9982659
532,0.9983141
533,0.9983725
534,0.9983511
535,0.9984016
536,0.9983088
537,0.99837935
538,0.9984142
539,0.9983816
540,0.9983739
541,0.9983763
542,0.99848604
543,0.9984949
544,0.9984696
545,0.998347
546,0.99837
547,0.99833506
548,0.9982868
549,0.9982786
550,0.99830353
551,0.99827844
552,0.9983662
553,0.99829626
554,0.9983548
555,0.9983773
556,0.9984365
557,0.9984594
558,0.9985098
559,0.99857485
560,0.9983471
561,0.99848306
562,0.9984636
563,0.9983782
564,0.99845755
565,0.99841195
566,0.9983676
567,0.9984351
568,0.99831516
569,0.99839866
570,0.9984813
571,0.9984005
572,0.9983569
573,0.99835753
574,0.9983644
575,0.998347
576,0.9983312
577,0.9983445
578,0.9982395
579,0.99833494
580,0.9982809
581,0.9981893
582,0.99822325
583,0.9983943
584,0.9983978
585,0.9983025
586,0.99833006
587,0.9982859
588,0.99815965
589,0.99817467
590,0.998209
591,0.99822676
592,0.9983501
593,0.9981922
594,0.99843615
595,0.9983524
596,0.99823725
597,0.9982593
598,0.9983103
599,0.9983946
600,0.9983698
601,0.9983618
602,0.9983277
603,0.9983668
604,0.9982932
605,0.99826646
606,0.9982883
607,0.9981905
608,0.9981872
609,0.99820197
610,0.9982537
611,0.99814343
612,0.9982723
613,0.9982364
614,0.9981971
615,0.998241
616,0.99816597
617,0.99824613
618,0.99828637
619,0.99829185
620,0.9983834
621,0.9982813
622,0.99815613
623,0.99819756
624,0.99824715
625,0.99835795
626,0.99824893
627,0.9981813
628,0.99817526
629,0.99821687
630,0.9982226
631,0.9981983
632,0.99821484
633,0.9983311
634,0.99829847
635,0.99835175
636,0.9983006
637,0.99839467
638,0.99832845
639,0.9982657
640,0.99827814
641,0.99830127
642,0.9983603
643,0.99817723
644,0.9982819
645,0.9984398
646,0.9983513
647,0.99828744
648,0.99851114
649,0.9983966
650,0.998333
651,0.99835926
652,0.99839
653,0.99839556
654,0.99839985
655,0.99839866
656,0.9984448
657,0.99839395
658,0.9983612
659,0.99838567
660,0.99835396
661,0.99829257
662,0.99837124
663,0.99835885
664,0.99831444
665,0.9982824
666,0.99821275
667,0.9983135
668,0.9982856
669,0.9984477
670,0.99829584
671,0.9982771
672,0.99820906
673,0.99830997
674,0.9983958
675,0.9983941
676,0.9983578
677,0.9984178
678,0.9984258
679,0.9984384
680,0.9982825
681,0.9984446
682,0.9984136
683,0.9983692
684,0.9983341
685,0.9982869
686,0.99833655
687,0.9983445
688,0.9983446
689,0.9983366
690,0.9982458
691,0.9982002
692,0.99813944
693,0.9981213
694,0.9981676
695,0.99829197
696,0.9983575
697,0.99833757
698,0.9983104
699,0.9983229
700,0.9983204
701,0.9982217
702,0.9983092
703,0.99824136
704,0.99838865
705,0.99828166
706,0.99824727
707,0.998349
708,0.99835396
709,0.99831194
710,0.9983412
711,0.99832505
712,0.9984411
713,0.9983449
714,0.9981935
715,0.9982458
716,0.9983148
717,0.99846214
718,0.99842054
719,0.9982794
720,0.9983243
721,0.9982689
722,0.9984464
723,0.9982609
724,0.9984241
725,0.9984088
726,0.99841213
727,0.9983693
728,0.9983879
729,0.998434
730,0.9982716
731,0.9982526
732,0.99842334
733,0.9983293
734,0.99839157
735,0.99831206
736,0.9982812
737,0.9983984
738,0.9984651
739,0.9984803
740,0.99851143
741,0.9984177
742,0.99827075
743,0.9982118
744,0.99845
745,0.99832654
746,0.998417
747,0.99830556
748,0.9983619
749,0.9983868
750,0.9982742
751,0.9984169
752,0.9984599
753,0.99838674
754,0.99848825
755,0.99846214
756,0.99825716
757,0.99847436
758,0.99827814
759,0.99814916
760,0.9982969
761,0.9984999
762,0.9984153
763,0.99837774
764,0.99827147
765,0.9984535
766,0.99840796
767,0.9982585
768,0.99842876
769,0.99836546
770,0.9983692
771,0.998371
772,0.9983302
773,0.9982366
774,0.9982746
775,0.9983966
776,0.9982917
777,0.99826056
778,0.9982535
779,0.9982835
780,0.9980318
781,0.99794406
782,0.99818325
783,0.99823374
784,0.99832255
785,0.9982964
786,0.99827343
787,0.998441
788,0.99836296
789,0.9983913
790,0.99840355
791,0.9983128
792,0.998279
793,0.9983658
794,0.9984258
795,0.99838686
796,0.9984697
797,0.9984044
798,0.99838984
799,0.99835014
800,0.9984011
801,0.998427
802,0.99837923
803,0.9983038
804,0.99839705
805,0.99834263
806,0.9983247
807,0.9983067
808,0.99824244
809,0.99827254
810,0.9982432
811,0.9981567
812,0.9981839
813,0.9982251
